date,시구,행정동,담당 우체국명,event_type,allocation_event_type,plan_ids,집배원수,세대수,사업체수,면적 (㎢),행정동_위도,행정동_경도,담당 우체국 위도,담당 우체국 경도,office_dong_distance_km,no_event_allocated_volume,allocated_volume_low,allocated_volume_base,allocated_volume_high,event_added_volume_base,no_event_volume_per_courier,volume_per_courier_low,volume_per_courier_base,volume_per_courier_high,event_added_volume_per_courier_base,no_event_load_score,load_score_base,distance_score,area_score,no_event_relative_lt_risk_index,relative_lt_risk_index_low,relative_lt_risk_index_base,relative_lt_risk_index_high,event_risk_delta_low,event_risk_delta_base,event_risk_delta_high,relative_risk_level_low,relative_risk_level_base,relative_risk_level_high,daily_priority_rank_low,daily_priority_rank_base,daily_priority_rank_high,event_uplift_rank_low,event_uplift_rank_base,event_uplift_rank_high
2026-01-02,대덕구,회덕동,대전대덕우체국,없음,없음,없음,4.141,5469,2075,16.83,36.3968631240258,127.43366288251433,36.4474738,127.4003943,6.366,832.9667078329975,832.9667078329975,832.9667078329975,832.9667078329975,0.0,201.15,201.15,201.15,201.15,0.0,57.617,57.617,77.778,90.123,64.9,64.9,64.9,64.9,0.0,0.0,0.0,Normal,Normal,Normal,14,14,14,,,
2026-01-02,동구,대청동,대전우체국,없음,없음,없음,0.663,1211,227,63.59,36.36963029740453,127.49217981860151,36.3289462,127.433855,6.91,127.89098464336989,127.89098464336989,127.89098464336989,127.89098464336989,0.0,192.9,192.9,192.9,192.9,0.0,54.674,54.674,81.481,100.0,64.568,64.568,64.568,64.568,0.0,0.0,0.0,Normal,Normal,Normal,15,15,15,,,
2026-01-02,서구,정림동,대전둔산우체국,없음,없음,없음,3.744,6773,1444,6.04,36.2942818883227,127.36594968910964,36.3518707,127.3862544,6.657,757.7108724059452,757.7108724059452,757.7108724059452,757.7108724059452,0.0,202.38,202.38,202.38,202.38,0.0,58.0,58.0,80.247,79.012,64.551,64.551,64.551,64.551,0.0,0.0,0.0,Normal,Normal,Normal,16,16,16,,,
2026-01-02,유성구,노은3동,대전유성우체국,없음,없음,없음,6.927,14202,2407,9.0,36.38611443769143,127.29799680363348,36.354967,127.344751,5.433,1437.7723237102648,1437.7723237102648,1437.7723237102648,1437.7723237102648,0.0,207.56,207.56,207.56,207.56,0.0,59.49,59.49,70.37,83.951,64.112,64.112,64.112,64.112,0.0,0.0,0.0,Normal,Normal,Normal,17,17,17,,,
2026-01-02,서구,가수원동,대전둔산우체국,없음,없음,없음,3.015,4805,1305,4.89,36.29000299471265,127.35158403300764,36.3518707,127.3862544,7.548,605.8026927097014,605.8026927097014,605.8026927097014,605.8026927097014,0.0,200.93,200.93,200.93,200.93,0.0,57.536,57.536,82.716,72.84,64.102,64.102,64.102,64.102,0.0,0.0,0.0,Normal,Normal,Normal,18,18,18,,,
2026-01-02,대덕구,송촌동,대전대덕우체국,없음,없음,없음,6.146,10464,2390,1.94,36.36328114121035,127.44313999946206,36.4474738,127.4003943,10.113,1209.3313233446647,1209.3313233446647,1209.3313233446647,1209.3313233446647,0.0,196.77,196.77,196.77,196.77,0.0,55.999,55.999,95.062,55.556,63.767,63.767,63.767,63.767,0.0,0.0,0.0,Normal,Normal,Normal,19,19,19,,,
2026-01-02,유성구,노은1동,대전유성우체국,없음,없음,없음,6.577,8824,3349,11.4,36.36686362901758,127.29123476961392,36.354967,127.344751,4.971,1344.2181227038031,1344.2181227038031,1344.2181227038031,1344.2181227038031,0.0,204.38,204.38,204.38,204.38,0.0,58.61,58.61,66.667,87.654,63.126,63.126,63.126,63.126,0.0,0.0,0.0,Normal,Normal,Normal,20,20,20,,,
2026-01-02,유성구,학하동,대전유성우체국,없음,없음,없음,5.484,8966,2386,13.4,36.34183696254233,127.29566980327397,36.354967,127.344751,4.632,1118.4680660370498,1118.4680660370498,1118.4680660370498,1118.4680660370498,0.0,203.95,203.95,203.95,203.95,0.0,58.522,58.522,65.432,88.889,62.941,62.941,62.941,62.941,0.0,0.0,0.0,Normal,Normal,Normal,21,21,21,,,
2026-01-02,대덕구,중리동,대전대덕우체국,없음,없음,없음,6.899,10432,3045,1.5,36.36162377549439,127.42768109862216,36.4474738,127.4003943,9.854,1366.75432366833,1366.75432366833,1366.75432366833,1366.75432366833,0.0,198.11,198.11,198.11,198.11,0.0,56.54,56.54,93.827,45.062,62.85,62.85,62.85,62.85,0.0,0.0,0.0,Normal,Normal,Normal,22,22,22,,,
2026-01-02,대덕구,신탄진동,대전대덕우체국,없음,없음,없음,4.016,7008,1469,22.99,36.440181349056104,127.46225983056888,36.4474738,127.4003943,5.593,777.8942698660323,777.8942698660323,777.8942698660323,777.8942698660323,0.0,193.7,193.7,193.7,193.7,0.0,54.922,54.922,72.84,91.358,62.149,62.149,62.149,62.149,0.0,0.0,0.0,Normal,Normal,Normal,23,23,23,,,
