접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세 (건축),정기분 주민세,주민세 (사업소분),재산세 (토지),제2기분 자동차세,사회보험료 통합
2025-03-04,대전광역시,117816,화,0,0,0,0,0,0,0
2025-03-05,대전광역시,61625,수,0,0,0,0,0,0,0
2025-03-06,대전광역시,37823,목,0,0,0,0,0,0,0
2025-03-07,대전광역시,155538,금,0,0,0,0,0,0,0
2025-03-10,대전광역시,146180,월,0,0,0,0,0,0,0
2025-03-11,대전광역시,58426,화,0,0,0,0,0,0,0
2025-03-12,대전광역시,98527,수,0,0,0,0,0,0,0
2025-03-13,대전광역시,78473,목,0,0,0,0,0,0,0
2025-03-14,대전광역시,67118,금,0,0,0,0,0,0,0
2025-03-17,대전광역시,106576,월,0,0,0,0,0,0,0
2025-03-18,대전광역시,29889,화,0,0,0,0,0,0,0
2025-03-19,대전광역시,69413,수,0,0,0,0,0,0,0
2025-03-20,대전광역시,105893,목,0,0,0,0,0,0,0
2025-03-21,대전광역시,80029,금,0,0,0,0,0,0,1
2025-03-22,대전광역시,49384,토,0,0,0,0,0,0,1
2025-03-24,대전광역시,95291,월,0,0,0,0,0,0,1
2025-03-25,대전광역시,46586,화,0,0,0,0,0,0,1
2025-03-26,대전광역시,60170,수,0,0,0,0,0,0,0
2025-03-27,대전광역시,57711,목,0,0,0,0,0,0,0
2025-03-28,대전광역시,64792,금,0,0,0,0,0,0,0
2025-03-31,대전광역시,89968,월,0,0,0,0,0,0,0
