접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세 (건축),정기분 주민세,주민세 (사업소분),재산세 (토지),제2기분 자동차세,사회보험료 통합
2025-01-02,대전광역시,51413,목,0,0,0,0,0,0,0
2025-01-03,대전광역시,103365,금,0,0,0,0,0,0,0
2025-01-06,대전광역시,79955,월,0,0,0,0,0,0,0
2025-01-07,대전광역시,39174,화,0,0,0,0,0,0,0
2025-01-08,대전광역시,24543,수,0,0,0,0,0,0,0
2025-01-09,대전광역시,56062,목,0,0,0,0,0,0,0
2025-01-10,대전광역시,74276,금,0,0,0,0,0,0,0
2025-01-13,대전광역시,283018,월,0,0,0,0,0,0,0
2025-01-14,대전광역시,130108,화,0,0,0,0,0,0,0
2025-01-15,대전광역시,60921,수,0,0,0,0,0,0,0
2025-01-16,대전광역시,41399,목,0,0,0,0,0,0,0
2025-01-17,대전광역시,37864,금,0,0,0,0,0,0,0
2025-01-20,대전광역시,74688,월,0,0,0,0,0,0,0
2025-01-21,대전광역시,44974,화,0,0,0,0,0,0,1
2025-01-22,대전광역시,49486,수,0,0,0,0,0,0,1
2025-01-23,대전광역시,83744,목,0,0,0,0,0,0,1
2025-01-24,대전광역시,52676,금,0,0,0,0,0,0,1
2025-01-31,대전광역시,58120,금,0,0,0,0,0,0,0
