접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세 (건축),정기분 주민세,주민세 (사업소분),재산세 (토지),제2기분 자동차세,사회보험료 통합
2025-02-03,대전광역시,151393,월,0,0,0,0,0,0,0
2025-02-04,대전광역시,73590,화,0,0,0,0,0,0,0
2025-02-05,대전광역시,153049,수,0,0,0,0,0,0,0
2025-02-06,대전광역시,50634,목,0,0,0,0,0,0,0
2025-02-07,대전광역시,51964,금,0,0,0,0,0,0,0
2025-02-10,대전광역시,109961,월,0,0,0,0,0,0,0
2025-02-11,대전광역시,54876,화,0,0,0,0,0,0,0
2025-02-12,대전광역시,73468,수,0,0,0,0,0,0,0
2025-02-13,대전광역시,104724,목,0,0,0,0,0,0,0
2025-02-14,대전광역시,68176,금,0,0,0,0,0,0,0
2025-02-17,대전광역시,121620,월,0,0,0,0,0,0,0
2025-02-18,대전광역시,29828,화,0,0,0,0,0,0,0
2025-02-19,대전광역시,36616,수,0,0,0,0,0,0,0
2025-02-20,대전광역시,63305,목,0,0,0,0,0,0,0
2025-02-21,대전광역시,53210,금,0,0,0,0,0,0,1
2025-02-24,대전광역시,117242,월,0,0,0,0,0,0,1
2025-02-25,대전광역시,60724,화,0,0,0,0,0,0,1
2025-02-26,대전광역시,50479,수,0,0,0,0,0,0,0
2025-02-27,대전광역시,89159,목,0,0,0,0,0,0,0
2025-02-28,대전광역시,40686,금,0,0,0,0,0,0,0
