접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2025.10.1,대전광역시,38712,수,0,0,0,0,0,0,0
2025.10.2,대전광역시,93729,목,0,0,0,0,0,0,0
2025.10.10,대전광역시,48628,금,0,0,0,0,0,0,0
2025.10.13,대전광역시,96501,월,0,0,0,0,0,0,0
2025.10.14,대전광역시,74471,화,0,0,0,0,0,0,0
2025.10.15,대전광역시,47407,수,0,0,0,0,0,0,0
2025.10.16,대전광역시,93781,목,0,0,0,0,0,0,0
2025.10.17,대전광역시,52408,금,0,0,0,0,0,0,0
2025.10.20,대전광역시,104227,월,0,0,0,0,0,0,0
2025.10.21,대전광역시,72767,화,0,0,0,0,0,0,1
2025.10.22,대전광역시,74161,수,0,0,0,0,0,0,1
2025.10.23,대전광역시,63466,목,0,0,0,0,0,0,1
2025.10.24,대전광역시,31558,금,0,0,0,0,0,0,1
2025.10.27,대전광역시,101412,월,0,0,0,0,0,0,0
2025.10.28,대전광역시,52949,화,0,0,0,0,0,0,0
2025.10.29,대전광역시,44356,수,0,0,0,0,0,0,0
2025.10.30,대전광역시,64424,목,0,0,0,0,0,0,0
2025.10.31,대전광역시,24566,금,0,0,0,0,0,0,0
