접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2025.8.1,대전광역시,19635,금,0,0,0,0,0,0,0
2025.8.4,대전광역시,155222,월,0,0,0,0,0,0,0
2025.8.5,대전광역시,30397,화,0,0,0,0,0,0,0
2025.8.6,대전광역시,34559,수,0,0,0,0,0,0,0
2025.8.7,대전광역시,30352,목,0,0,0,0,0,0,0
2025.8.8,대전광역시,85739,금,0,0,1,0,0,0,0
2025.8.11,대전광역시,431685,월,0,0,1,0,0,0,0
2025.8.12,대전광역시,224879,화,0,0,1,0,0,0,0
2025.8.13,대전광역시,78894,수,0,0,1,0,0,0,0
2025.8.14,대전광역시,45931,목,0,0,1,0,0,0,0
2025.8.18,대전광역시,103771,월,0,0,0,0,0,0,0
2025.8.19,대전광역시,24367,화,0,0,0,0,0,0,0
2025.8.20,대전광역시,51907,수,0,0,0,0,0,0,0
2025.8.21,대전광역시,46858,목,0,0,0,0,0,0,1
2025.8.22,대전광역시,50076,금,0,0,0,0,0,0,1
2025.8.25,대전광역시,109285,월,0,0,0,0,0,0,1
2025.8.26,대전광역시,54325,화,0,0,0,0,0,0,0
2025.8.27,대전광역시,25530,수,0,0,0,0,0,0,0
2025.8.28,대전광역시,85253,목,0,0,0,0,0,0,0
2025.8.29,대전광역시,38667,금,0,0,0,0,0,0,0
,,,,,,,,,,
