접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2025.12.1,대전광역시,77866,월,0,0,0,0,0,0,0
2025.12.2,대전광역시,56963,화,0,0,0,0,0,0,0
2025.12.3,대전광역시,78877,수,0,0,0,0,0,0,0
2025.12.4,대전광역시,38376,목,0,0,0,0,0,0,0
2025.12.5,대전광역시,29068,금,0,0,0,0,0,0,0
2025.12.8,대전광역시,93910,월,0,0,0,0,0,0,0
2025.12.9,대전광역시,30237,화,0,0,0,0,0,1,0
2025.12.10,대전광역시,103280,수,0,0,0,0,0,1,0
2025.12.11,대전광역시,220935,목,0,0,0,0,0,1,0
2025.12.12,대전광역시,115859,금,0,0,0,0,0,1,0
2025.12.15,대전광역시,161689,월,0,0,0,0,0,1,0
2025.12.16,대전광역시,97751,화,0,0,0,0,0,0,0
2025.12.17,대전광역시,102714,수,0,0,0,0,0,0,0
2025.12.18,대전광역시,135636,목,0,0,0,0,0,0,0
2025.12.19,대전광역시,105155,금,0,0,0,0,0,0,0
2025.12.22,대전광역시,66267,월,0,0,0,0,0,0,1
2025.12.23,대전광역시,65671,화,0,0,0,0,0,0,1
2025.12.24,대전광역시,55749,수,0,0,0,0,0,0,1
2025.12.26,대전광역시,74315,금,0,0,0,0,0,0,0
2025.12.29,대전광역시,61381,월,0,0,0,0,0,0,0
2025.12.30,대전광역시,52771,화,0,0,0,0,0,0,0
2025.12.31,대전광역시,54909,수,0,0,0,0,0,0,0
