접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2025.6.2,대전광역시,86953,월,0,0,0,0,0,0,0
2025.6.4,대전광역시,179191,수,0,0,0,0,0,0,0
2025.6.5,대전광역시,57153,목,0,0,0,0,0,0,0
2025.6.9,대전광역시,105308,월,1,0,0,0,0,0,0
2025.6.10,대전광역시,156239,화,1,0,0,0,0,0,0
2025.6.11,대전광역시,240711,수,1,0,0,0,0,0,0
2025.6.12,대전광역시,59838,목,1,0,0,0,0,0,0
2025.6.13,대전광역시,54378,금,1,0,0,0,0,0,0
2025.6.16,대전광역시,127880,월,0,0,0,0,0,0,0
2025.6.17,대전광역시,56302,화,0,0,0,0,0,0,0
2025.6.18,대전광역시,85039,수,0,0,0,0,0,0,0
2025.6.19,대전광역시,53327,목,0,0,0,0,0,0,0
2025.6.20,대전광역시,60872,금,0,0,0,0,0,0,0
2025.6.22,대전광역시,65,일,0,0,0,0,0,0,1
2025.6.23,대전광역시,71202,월,0,0,0,0,0,0,1
2025.6.24,대전광역시,21190,화,0,0,0,0,0,0,1
2025.6.25,대전광역시,47046,수,0,0,0,0,0,0,1
2025.6.26,대전광역시,65704,목,0,0,0,0,0,0,0
2025.6.27,대전광역시,30241,금,0,0,0,0,0,0,0
2025.6.30,대전광역시,80163,월,0,0,0,0,0,0,0
