접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2025.11.3,대전광역시,79719,월,0,0,0,0,0,0,0
2025.11.4,대전광역시,85746,화,0,0,0,0,0,0,0
2025.11.5,대전광역시,28485,수,0,0,0,0,0,0,0
2025.11.6,대전광역시,55717,목,0,0,0,0,0,0,0
2025.11.7,대전광역시,35889,금,0,0,0,0,0,0,0
2025.11.10,대전광역시,110599,월,0,0,0,0,0,0,0
2025.11.11,대전광역시,45823,화,0,0,0,0,0,0,0
2025.11.12,대전광역시,82098,수,0,0,0,0,0,0,0
2025.11.13,대전광역시,93902,목,0,0,0,0,0,0,0
2025.11.14,대전광역시,54494,금,0,0,0,0,0,0,0
2025.11.17,대전광역시,85405,월,0,0,0,0,0,0,0
2025.11.18,대전광역시,71487,화,0,0,0,0,0,0,0
2025.11.19,대전광역시,33123,수,0,0,0,0,0,0,0
2025.11.20,대전광역시,85687,목,0,0,0,0,0,0,0
2025.11.21,대전광역시,27067,금,0,0,0,0,0,0,1
2025.11.24,대전광역시,80413,월,0,0,0,0,0,0,1
2025.11.25,대전광역시,68290,화,0,0,0,0,0,0,1
2025.11.26,대전광역시,71080,수,0,0,0,0,0,0,0
2025.11.27,대전광역시,51151,목,0,0,0,0,0,0,0
2025.11.28,대전광역시,33846,금,0,0,0,0,0,0,0
