접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세 (건축),정기분 주민세,주민세 (사업소분),재산세 (토지),제2기분 자동차세,사회보험료 통합
2024-10-02,대전광역시,109647,수,0,0,0,0,0,0,0
2024-10-04,대전광역시,119723,금,0,0,0,0,0,0,0
2024-10-07,대전광역시,115471,월,0,0,0,0,0,0,0
2024-10-08,대전광역시,36792,화,0,0,0,0,0,0,0
2024-10-10,대전광역시,121329,목,0,0,0,0,0,0,0
2024-10-11,대전광역시,116320,금,0,0,0,0,0,0,0
2024-10-14,대전광역시,171351,월,0,0,0,0,0,0,0
2024-10-15,대전광역시,77705,화,0,0,0,0,0,0,0
2024-10-16,대전광역시,39628,수,0,0,0,0,0,0,0
2024-10-17,대전광역시,130120,목,0,0,0,0,0,0,0
2024-10-18,대전광역시,58560,금,0,0,0,0,0,0,0
2024-10-21,대전광역시,164574,월,0,0,0,0,0,0,1
2024-10-22,대전광역시,57560,화,0,0,0,0,0,0,1
2024-10-23,대전광역시,30596,수,0,0,0,0,0,0,1
2024-10-24,대전광역시,99989,목,0,0,0,0,0,0,1
2024-10-25,대전광역시,36955,금,0,0,0,0,0,0,1
2024-10-28,대전광역시,113953,월,0,0,0,0,0,0,0
2024-10-29,대전광역시,33135,화,0,0,0,0,0,0,0
2024-10-30,대전광역시,103829,수,0,0,0,0,0,0,0
2024-10-31,대전광역시,106402,목,0,0,0,0,0,0,0
