접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세 (건축),정기분 주민세,주민세 (사업소분),재산세 (토지),제2기분 자동차세,사회보험료 통합
2024-11-01,대전광역시,36199,금,0,0,0,0,0,0,0
2024-11-04,대전광역시,120733,월,0,0,0,0,0,0,0
2024-11-05,대전광역시,40188,화,0,0,0,0,0,0,0
2024-11-06,대전광역시,77908,수,0,0,0,0,0,0,0
2024-11-07,대전광역시,85712,목,0,0,0,0,0,0,0
2024-11-08,대전광역시,42365,금,0,0,0,0,0,0,0
2024-11-11,대전광역시,141761,월,0,0,0,0,0,0,0
2024-11-12,대전광역시,95691,화,0,0,0,0,0,0,0
2024-11-13,대전광역시,85346,수,0,0,0,0,0,0,0
2024-11-14,대전광역시,75457,목,0,0,0,0,0,0,0
2024-11-15,대전광역시,33083,금,0,0,0,0,0,0,0
2024-11-18,대전광역시,125851,월,0,0,0,0,0,0,0
2024-11-19,대전광역시,47111,화,0,0,0,0,0,0,0
2024-11-20,대전광역시,62415,수,0,0,0,0,0,0,0
2024-11-21,대전광역시,48261,목,0,0,0,0,0,0,1
2024-11-22,대전광역시,43643,금,0,0,0,0,0,0,1
2024-11-25,대전광역시,102263,월,0,0,0,0,0,0,1
2024-11-26,대전광역시,55958,화,0,0,0,0,0,0,0
2024-11-27,대전광역시,44733,수,0,0,0,0,0,0,0
2024-11-28,대전광역시,53907,목,0,0,0,0,0,0,0
2024-11-29,대전광역시,36523,금,0,0,0,0,0,0,0
