접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2024.5.1,대전광역시,9142,수,0,0,0,0,0,0,0
2024.5.2,대전광역시,110974,목,0,0,0,0,0,0,0
2024.5.3,대전광역시,74344,금,0,0,0,0,0,0,0
2024.5.7,대전광역시,111063,화,0,0,0,0,0,0,0
2024.5.8,대전광역시,38634,수,0,0,0,0,0,0,0
2024.5.9,대전광역시,122858,목,0,0,0,0,0,0,0
2024.5.10,대전광역시,44880,금,0,0,0,0,0,0,0
2024.5.13,대전광역시,150737,월,0,0,0,0,0,0,0
2024.5.14,대전광역시,94812,화,0,0,0,0,0,0,0
2024.5.16,대전광역시,132588,목,0,0,0,0,0,0,0
2024.5.17,대전광역시,51055,금,0,0,0,0,0,0,0
2024.5.20,대전광역시,116473,월,0,0,0,0,0,0,0
2024.5.21,대전광역시,65905,화,0,0,0,0,0,0,1
2024.5.22,대전광역시,53421,수,0,0,0,0,0,0,1
2024.5.23,대전광역시,113137,목,0,0,0,0,0,0,1
2024.5.24,대전광역시,30678,금,0,0,0,0,0,0,1
2024.5.27,대전광역시,100685,월,0,0,0,0,0,0,0
2024.5.28,대전광역시,98035,화,0,0,0,0,0,0,0
2024.5.29,대전광역시,24357,수,0,0,0,0,0,0,0
2024.5.30,대전광역시,124563,목,0,0,0,0,0,0,0
2024.5.31,대전광역시,28393,금,0,0,0,0,0,0,0
,,,,,,,,,,
