접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세 (건축),정기분 주민세,주민세 (사업소분),재산세 (토지),제2기분 자동차세,사회보험료 통합
2024-12-02,대전광역시,132309,월,0,0,0,0,0,0,0
2024-12-03,대전광역시,149209,화,0,0,0,0,0,0,0
2024-12-04,대전광역시,88365,수,0,0,0,0,0,0,0
2024-12-05,대전광역시,118908,목,0,0,0,0,0,0,0
2024-12-06,대전광역시,128139,금,0,0,0,0,0,0,0
2024-12-09,대전광역시,142646,월,0,0,0,0,0,1,0
2024-12-10,대전광역시,51616,화,0,0,0,0,0,1,0
2024-12-11,대전광역시,125744,수,0,0,0,0,0,1,0
2024-12-12,대전광역시,292855,목,0,0,0,0,0,1,0
2024-12-13,대전광역시,50397,금,0,0,0,0,0,1,0
2024-12-16,대전광역시,95978,월,0,0,0,0,0,0,0
2024-12-17,대전광역시,57832,화,0,0,0,0,0,0,0
2024-12-18,대전광역시,44848,수,0,0,0,0,0,0,0
2024-12-19,대전광역시,65293,목,0,0,0,0,0,0,0
2024-12-20,대전광역시,230638,금,0,0,0,0,0,0,0
2024-12-23,대전광역시,97156,월,0,0,0,0,0,0,1
2024-12-24,대전광역시,51913,화,0,0,0,0,0,0,1
2024-12-26,대전광역시,27994,목,0,0,0,0,0,0,0
2024-12-27,대전광역시,80454,금,0,0,0,0,0,0,0
2024-12-30,대전광역시,91686,월,0,0,0,0,0,0,0
2024-12-31,대전광역시,36915,화,0,0,0,0,0,0,0
