접수일자,접수지역,접수통수,요일,제1기분 자동차세2,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2024.6.3,대전광역시,156184,월,0,0,0,0,0,0,0
2024.6.4,대전광역시,45874,화,0,0,0,0,0,0,0
2024.6.5,대전광역시,103855,수,0,0,0,0,0,0,0
2024.6.7,대전광역시,109636,금,0,0,0,0,0,0,0
2024.6.10,대전광역시,148638,월,1,0,0,0,0,0,0
2024.6.11,대전광역시,193298,화,1,0,0,0,0,0,0
2024.6.12,대전광역시,88486,수,1,0,0,0,0,0,0
2024.6.13,대전광역시,279745,목,1,0,0,0,0,0,0
2024.6.14,대전광역시,47301,금,1,0,0,0,0,0,0
2024.6.17,대전광역시,81880,월,0,0,0,0,0,0,0
2024.6.18,대전광역시,84484,화,0,0,0,0,0,0,0
2024.6.19,대전광역시,39900,수,0,0,0,0,0,0,0
2024.6.20,대전광역시,55804,목,0,0,0,0,0,0,0
2024.6.21,대전광역시,33070,금,0,0,0,0,0,0,1
2024.6.24,대전광역시,99101,월,0,0,0,0,0,0,1
2024.6.25,대전광역시,49060,화,0,0,0,0,0,0,1
2024.6.26,대전광역시,56289,수,0,0,0,0,0,0,0
2024.6.27,대전광역시,48718,목,0,0,0,0,0,0,0
2024.6.28,대전광역시,38982,금,0,0,0,0,0,0,0
