접수일자,접수지역,접수통수,요일,제1기분 자동차세2,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2024.1.2,대전광역시,85267,화,0,0,0,0,0,0,0
2024.1.3,대전광역시,118718,수,0,0,0,0,0,0,0
2024.1.4,대전광역시,93382,목,0,0,0,0,0,0,0
2024.1.5,대전광역시,57788,금,0,0,0,0,0,0,0
2024.1.8,대전광역시,81652,월,0,0,0,0,0,0,0
2024.1.9,대전광역시,52864,화,0,0,0,0,0,0,0
2024.1.10,대전광역시,79009,수,0,0,0,0,0,0,0
2024.1.11,대전광역시,281812,목,0,0,0,0,0,0,0
2024.1.12,대전광역시,139924,금,0,0,0,0,0,0,0
2024.1.15,대전광역시,87097,월,0,0,0,0,0,0,0
2024.1.16,대전광역시,39579,화,0,0,0,0,0,0,0
2024.1.17,대전광역시,42762,수,0,0,0,0,0,0,0
2024.1.18,대전광역시,87289,목,0,0,0,0,0,0,0
2024.1.19,대전광역시,96835,금,0,0,0,0,0,0,0
2024.1.22,대전광역시,67568,월,0,0,0,0,0,0,1
2024.1.23,대전광역시,34096,화,0,0,0,0,0,0,1
2024.1.24,대전광역시,58701,수,0,0,0,0,0,0,1
2024.1.25,대전광역시,42462,목,0,0,0,0,0,0,1
2024.1.26,대전광역시,49934,금,0,0,0,0,0,0,0
2024.1.29,대전광역시,94855,월,0,0,0,0,0,0,0
2024.1.30,대전광역시,92571,화,0,0,0,0,0,0,0
2024.1.31,대전광역시,64407,수,0,0,0,0,0,0,0
