접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2026.4.1,대전광역시,39312,수,0,0,0,0,0,0,0
2026.4.2,대전광역시,107871,목,0,0,0,0,0,0,0
2026.4.3,대전광역시,58054,금,0,0,0,0,0,0,0
2026.4.6,대전광역시,92433,월,0,0,0,0,0,0,0
2026.4.7,대전광역시,53853,화,0,0,0,0,0,0,0
2026.4.8,대전광역시,59546,수,0,0,0,0,0,0,0
2026.4.9,대전광역시,63687,목,0,0,0,0,0,0,0
2026.4.10,대전광역시,77274,금,0,0,0,0,0,0,0
2026.4.13,대전광역시,120980,월,0,0,0,0,0,0,0
2026.4.14,대전광역시,61992,화,0,0,0,0,0,0,0
2026.4.15,대전광역시,100711,수,0,0,0,0,0,0,0
2026.4.16,대전광역시,79838,목,0,0,0,0,0,0,0
2026.4.17,대전광역시,50733,금,0,0,0,0,0,0,0
2026.4.20,대전광역시,97541,월,0,0,0,0,0,0,0
2026.4.21,대전광역시,56086,화,0,0,0,0,0,0,1
2026.4.22,대전광역시,35488,수,0,0,0,0,0,0,1
2026.4.23,대전광역시,59923,목,0,0,0,0,0,0,1
2026.4.24,대전광역시,34446,금,0,0,0,0,0,0,1
2026.4.27,대전광역시,94971,월,0,0,0,0,0,0,0
2026.4.28,대전광역시,40155,화,0,0,0,0,0,0,0
2026.4.29,대전광역시,68593,수,0,0,0,0,0,0,0
2026.4.30,대전광역시,47405,목,0,0,0,0,0,0,0
