접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2026.6.1,대전광역시,74602,월,0,0,0,0,0,0,0
2026.6.2,대전광역시,35403,화,0,0,0,0,0,0,0
2026.6.4,대전광역시,37728,목,0,0,0,0,0,0,0
2026.6.5,대전광역시,30850,금,0,0,0,0,0,0,0
2026.6.8,대전광역시,141996,월,0,0,0,0,0,0,0
2026.6.9,대전광역시,22203,화,1,0,0,0,0,0,0
2026.6.10,대전광역시,37071,수,1,0,0,0,0,0,0
2026.6.11,대전광역시,195110,목,1,0,0,0,0,0,0
2026.6.12,대전광역시,200192,금,1,0,0,0,0,0,0
2026.6.15,대전광역시,119115,월,1,0,0,0,0,0,0
2026.6.16,대전광역시,31885,화,0,0,0,0,0,0,0
2026.6.17,대전광역시,45353,수,0,0,0,0,0,0,0
2026.6.18,대전광역시,72231,목,0,0,0,0,0,0,0
2026.6.19,대전광역시,21217,금,0,0,0,0,0,0,0
2026.6.22,대전광역시,67100,월,0,0,0,0,0,0,1
2026.6.23,대전광역시,48261,화,0,0,0,0,0,0,1
2026.6.24,대전광역시,22315,수,0,0,0,0,0,0,1
2026.6.25,대전광역시,78043,목,0,0,0,0,0,0,1
2026.6.26,대전광역시,35848,금,0,0,0,0,0,0,0
2026.6.29,대전광역시,38909,월,0,0,0,0,0,0,0
2026.6.30,대전광역시,48869,화,0,0,0,0,0,0,0
