접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2026.1.2,대전광역시,54080,금,0,0,0,0,0,0,0
2026.1.5,대전광역시,81357,월,0,0,0,0,0,0,0
2026.1.6,대전광역시,105081,화,0,0,0,0,0,0,0
2026.1.7,대전광역시,64045,수,0,0,0,0,0,0,0
2026.1.8,대전광역시,91689,목,0,0,0,0,0,0,0
2026.1.9,대전광역시,53013,금,0,0,0,0,0,0,0
2026.1.12,대전광역시,277069,월,0,0,0,0,0,0,0
2026.1.13,대전광역시,169219,화,0,0,0,0,0,0,0
2026.1.14,대전광역시,29045,수,0,0,0,0,0,0,0
2026.1.15,대전광역시,46337,목,0,0,0,0,0,0,0
2026.1.16,대전광역시,33165,금,0,0,0,0,0,0,0
2026.1.19,대전광역시,63821,월,0,0,0,0,0,0,0
2026.1.20,대전광역시,75196,화,0,0,0,0,0,0,0
2026.1.21,대전광역시,34562,수,0,0,0,0,0,0,1
2026.1.22,대전광역시,81196,목,0,0,0,0,0,0,1
2026.1.23,대전광역시,39643,금,0,0,0,0,0,0,1
2026.1.26,대전광역시,65267,월,0,0,0,0,0,0,0
2026.1.27,대전광역시,66674,화,0,0,0,0,0,0,0
2026.1.28,대전광역시,58589,수,0,0,0,0,0,0,0
2026.1.29,대전광역시,62680,목,0,0,0,0,0,0,0
2026.1.30,대전광역시,26372,금,0,0,0,0,0,0,0
