접수일자,접수지역,접수통수,요일,제1기분 자동차세,재산세(건축),정기분 주민세,주민세(사업소분) ,재산세(토지),제2기분 자동차세,사회보험료 통합
2026.5.4,대전광역시,102313,월,0,0,0,0,0,0,0
2026.5.6,대전광역시,55552,수,0,0,0,0,0,0,0
2026.5.7,대전광역시,59179,목,0,0,0,0,0,0,0
2026.5.8,대전광역시,138147,금,0,0,0,0,0,0,0
2026.5.11,대전광역시,169965,월,0,0,0,0,0,0,0
2026.5.12,대전광역시,96428,화,0,0,0,0,0,0,0
2026.5.13,대전광역시,43429,수,0,0,0,0,0,0,0
2026.5.14,대전광역시,85076,목,0,0,0,0,0,0,0
2026.5.15,대전광역시,97169,금,0,0,0,0,0,0,0
2026.5.18,대전광역시,83208,월,0,0,0,0,0,0,0
2026.5.19,대전광역시,33884,화,0,0,0,0,0,0,0
2026.5.20,대전광역시,16858,수,0,0,0,0,0,0,0
2026.5.21,대전광역시,46432,목,0,0,0,0,0,0,1
2026.5.22,대전광역시,3325214,금,0,0,0,0,0,0,1
2026.5.23,대전광역시,595408,토,0,0,0,0,0,0,1
2026.5.24,대전광역시,109723,일,0,0,0,0,0,0,1
2026.5.26,대전광역시,73583,화,0,0,0,0,0,0,0
2026.5.27,대전광역시,22808,수,0,0,0,0,0,0,0
2026.5.28,대전광역시,50214,목,0,0,0,0,0,0,0
2026.5.29,대전광역시,42412,금,0,0,0,0,0,0,0
,,,,,,,,,,
